Source Barcode,Source Well ID,Source Labware ID,Destination Barcode,Destination Well ID,Destination Labware ID,Date,Process
cY0OrN,1,AutoFlask,I74xQn,1,AutoFlask,2024-09-16,MediaChange
XTCBay,1,AutoFlask,7rqNE1,1,AutoFlask,2024-09-16,MediaChange
quv0Xy,1,AutoFlask,XTeuN5,1,AutoFlask,2024-09-16,MediaChange
